#Frame     o_angle_m1   o_angle_m2
       1      37.2849      38.3154
       2      36.2407      39.6756
       3      34.3439      36.6873
       4      36.9784      35.5768
       5      37.9329      38.2201
       6      39.8871      39.5528
       7      35.3107      35.6826
       8      36.7255      42.0496
       9      37.3212      32.4210
      10      36.7804      31.0746
      11      34.1890      32.3701
      12      37.0677      38.8059
      13      34.3574      40.5817
      14      30.6096      30.6098
      15      35.4520      41.2393
      16      32.5633      32.2261
      17      38.6368      39.3619
      18      31.2702      31.1254
      19      35.3353      41.2522
      20      33.8376      32.0163
      21      40.3432      36.8918
      22      36.3061      34.6433
      23      37.8252      37.3785
      24      40.2937      36.4257
      25      36.1183      42.0081
      26      36.2344      32.9521
      27      33.8800      43.0602
      28      38.0337      31.4602
      29      38.6514      38.6789
      30      36.5908      38.4503
      31      30.9776      30.5502
      32      37.0637      38.3378
      33      39.6347      34.0955
      34      30.6707      30.0631
      35      38.6074      40.0124
      36      38.0050      37.7083
      37      37.1714      31.6699
      38      33.0036      32.1251
      39      34.6738      34.6213
      40      37.9322      35.3852
      41      35.8260      37.4841
      42      30.5048      30.1019
      43      41.2893      33.8476
      44      36.2124      35.4899
      45      36.1209      36.6197
      46      37.4120      37.3987
      47      41.0435      37.9636
      48      39.9509      37.5403
      49      37.5053      34.5988
      50      38.3493      38.9949
      51      41.6458      35.2933
      52      35.6307      36.3398
      53      35.1264      35.4308
      54      38.5163      40.5719
      55      32.2855      30.9953
      56      40.5254      35.6690
      57      37.0137      39.6191
      58      32.2405      30.7744
      59      38.1186      29.0670
