#Frame       c2_angle
       1      66.6628
       2      64.2066
       3      48.9584
       4      73.7913
       5      62.7277
       6      69.2044
       7      59.7664
       8      60.9485
       9      60.5995
      10      56.6058
      11      70.3505
      12      62.6024
      13      57.4012
      14      60.9686
      15      61.7070
      16      68.5219
      17      70.0148
      18      63.3582
      19      56.8751
      20      66.6443
      21      61.9837
      22      71.6779
      23      62.3760
      24      66.0673
      25      56.9480
      26      67.6967
      27      45.9520
      28      57.2796
      29      62.5970
      30      50.8932
      31      58.9019
      32      63.7415
      33      71.1405
      34      62.6301
      35      72.5120
      36      69.3640
      37      61.3121
      38      68.4349
      39      72.4795
      40      73.5222
      41      54.3753
      42      60.1433
      43      64.1008
      44      76.3939
      45      64.0800
      46      61.7134
      47      65.7397
      48      62.3208
      49      72.7224
      50      73.5819
      51      58.3550
      52      69.1513
      53      69.6017
      54      56.9546
      55      61.6343
      56      60.4733
      57      54.7257
      58      61.1730
      59      53.7752
