#Frame     o_angle_m1   o_angle_m2
       1      40.8712      43.3022
       2      48.5015      40.1594
       3      42.2980      38.4277
       4      40.5136      48.4480
       5      42.2137      43.3543
       6      48.6833      38.6711
       7      41.7021      44.0751
       8      37.3202      40.8948
       9      39.3397      41.1900
      10      39.8160      39.7959
      11      35.8457      35.9475
      12      41.3172      41.2522
      13      43.0125      38.9626
      14      41.5493      44.1618
      15      39.0008      38.9501
      16      39.7802      37.9534
      17      38.9834      41.2125
      18      38.8446      45.9041
      19      36.8348      44.0006
      20      40.6694      44.5192
      21      39.8891      39.8824
      22      41.0062      39.5658
      23      40.1409      40.2668
      24      44.3924      41.2639
      25      38.9430      44.1948
      26      39.5447      39.5876
      27      37.8910      38.0089
      28      37.8531      36.8523
      29      43.5029      39.7259
      30      45.2305      38.0547
      31      38.7487      39.5183
      32      39.8745      38.6134
      33      39.0748      40.8655
      34      42.0844      38.9450
      35      40.3690      42.0018
      36      42.4307      38.9023
      37      41.2972      41.8472
      38      46.1470      41.2631
      39      40.4429      38.9345
      40      39.1108      41.6448
      41      38.7053      42.8867
      42      39.8241      39.9829
      43      44.7222      40.4763
      44      43.8267      42.4256
      45      40.6424      43.0889
      46      43.2298      40.2253
      47      44.5057      39.5086
      48      41.7648      39.6888
      49      38.2228      38.5534
      50      40.0116      48.0396
      51      40.6047      40.8908
      52      41.1492      51.5304
      53      40.1708      47.2231
      54      38.6840      38.3764
      55      40.9329      40.9491
      56      39.5805      48.0598
      57      39.1912      43.9074
      58      37.4595      36.0655
      59      46.3931      41.0383
      60      40.3457      40.2557
      61      35.5820      35.6208
      62      43.6561      38.7569
      63      40.0435      40.0369
      64      45.3606      34.8903
      65      42.8409      41.1082
      66      39.9785      41.7942
      67      39.1301      40.7034
      68      42.8979      43.7255
      69      41.1109      39.7464
      70      47.4275      40.4268
      71      42.0993      48.8451
      72      36.7578      40.8124
      73      42.2967      41.2320
      74      40.4992      42.3261
      75      45.7633      42.5141
      76      42.1071      40.4681
      77      39.1502      38.9881
      78      41.8989      48.9672
      79      42.6461      40.3921
      80      42.3582      38.7350
      81      37.3599      40.6439
      82      44.4448      36.6826
      83      40.9121      40.6467
      84      44.3448      42.0019
      85      38.5488      40.9488
      86      39.6487      43.3062
      87      44.6856      42.3958
      88      45.2175      41.4812
      89      39.0716      38.7618
      90      39.7259      36.7767
      91      44.4959      41.5836
      92      40.8708      39.7001
      93      43.1056      39.9874
      94      43.6811      41.2556
      95      39.4290      42.7892
      96      38.8967      43.1244
      97      44.1678      41.3857
      98      39.6028      47.4597
      99      41.4786      40.4097
     100      43.1826      41.5736
     101      40.7003      41.8583
     102      42.8044      41.9857
     103      40.4663      43.5396
     104      44.5848      40.5288
     105      41.3490      41.4801
     106      38.9145      39.9112
     107      39.8661      41.6643
     108      41.6163      42.5232
     109      38.4082      39.8501
     110      42.8183      39.5106
     111      43.9287      38.1535
     112      42.9049      40.4778
     113      40.0978      40.0885
     114      37.3379      40.6477
     115      42.1503      42.0389
     116      40.6433      39.7703
     117      42.1485      38.3368
     118      41.4552      43.5942
     119      42.8124      39.2239
     120      42.2205      45.1931
     121      42.3165      39.5683
     122      41.4949      39.4740
     123      47.4920      42.7020
     124      39.6299      41.9015
     125      38.8316      41.6999
     126      38.0697      38.6343
     127      38.5649      45.6389
     128      38.5583      41.4819
     129      41.4323      39.3358
     130      45.2939      39.2831
     131      40.2476      41.6775
     132      41.0610      45.2549
     133      44.9728      40.5768
     134      46.4152      41.4957
     135      38.6217      38.5075
     136      39.1916      42.3242
     137      41.0756      44.8620
     138      36.0074      40.1117
     139      39.2012      38.9140
     140      46.4645      38.8423
     141      43.0468      41.4544
     142      40.2344      38.3810
     143      37.9457      37.9388
     144      47.8930      40.6868
